TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
LA,2024_09_LA_SEA,0,298,68,1,0.333333333,0.05,90,21.23529412,20
SEA,2024_09_LA_SEA,1,363,107,3,0.294117647,0.153846154,88,21.89473684,20
CIN,2024_09_LV_CIN,1,251,130,1,0.533333333,0.16,51,25.11764706,41
LV,2024_09_LV_CIN,0,198,60,2,0.428571429,0.1,60,24.41176471,23
BUF,2024_09_MIA_BUF,1,235,94,1,0.538461538,0.105263158,62,20.76470588,27
MIA,2024_09_MIA_BUF,0,231,149,1,0.555555556,0.2,35,21.3,27
NE,2024_09_NE_TEN,0,206,110,3,0.266666667,0.142857143,68,27,17
TEN,2024_09_NE_TEN,1,240,167,1,0.4375,0.1,57,23.82352941,17
CAR,2024_09_NO_CAR,1,171,80,1,0.4,0.272727273,77,23.11764706,23
NO,2024_09_NO_CAR,0,236,197,0,0.333333333,0.125,87,30.82352941,22
KC,2024_09_TB_KC,1,291,124,1,0.666666667,0.222222222,5,21.66666667,24
TB,2024_09_TB_KC,0,200,95,0,0.428571429,0.272727273,75,20.1,23
NYG,2024_09_WAS_NYG,1,174,164,1,0.538461538,0.166666667,52,24.5,22
WAS,2024_09_WAS_NYG,0,209,149,0,0.416666667,0.12,51,24.05882353,27
ATL,2024_10_ATL_NO,0,306,181,1,0.411764706,0.0625,75,23.11764706,17
NO,2024_10_ATL_NO,1,269,96,0,0.384615385,0.0625,46,23.88235294,20
BUF,2024_10_BUF_IND,0,280,135,2,0.5,0.111111111,49,24.88235294,30
IND,2024_10_BUF_IND,1,272,121,4,0.357142857,0.095238095,30,21.3,19
BAL,2024_10_CIN_BAL,1,290,99,0,0.615384615,0.222222222,43,24.41176471,35
CIN,2024_10_CIN_BAL,0,428,49,1,0.529411765,0.157894737,61,20.73684211,34
DEN,2024_10_DEN_KC,0,215,78,0,0.5,0.111111111,25,20.1,14
KC,2024_10_DEN_KC,1,266,57,0,0.444444444,0.047619048,20,18.38888889,13
DET,2024_10_DET_HOU,0,240,105,5,0.5,0.375,15,20.84210526,23
HOU,2024_10_DET_HOU,1,232,56,2,0.4,0.105263158,76,21.05555556,23
LA,2024_10_MIA_LA,1,293,70,2,0.214285714,0,19,20.76470588,12
MIA,2024_10_MIA_LA,0,207,67,2,0.461538462,0.333333333,60,21.89473684,23
JAX,2024_10_MIN_JAX,1,111,56,3,0.454545455,0.2,20,19.33333333,7
MIN,2024_10_MIN_JAX,0,241,169,3,0.4,0,45,25,12
CHI,2024_10_NE_CHI,1,120,73,0,0.125,0,35,23.82352941,3
NE,2024_10_NE_CHI,0,184,144,1,0.357142857,0.055555556,30,20.88235294,19
CAR,2024_10_NYG_CAR,1,126,188,1,0.375,0.142857143,35,24.05882353,17
NYG,2024_10_NYG_CAR,0,190,167,3,0.466666667,0.111111111,67,30.82352941,17
ARI,2024_10_NYJ_ARI,1,266,147,0,0.714285714,0.307692308,50,23.05882353,31
NYJ,2024_10_NYJ_ARI,0,151,79,1,0.5,0,33,21.47058824,6
DAL,2024_10_PHI_DAL,1,66,97,5,0.25,0,29,17.61904762,6
PHI,2024_10_PHI_DAL,0,207,187,2,0.363636364,0.2,60,27.29411765,34
PIT,2024_10_PIT_WAS,0,195,140,3,0.4375,0.176470588,48,24.5,28
WAS,2024_10_PIT_WAS,1,202,60,0,0.357142857,0.2,42,20.72222222,27
SF,2024_10_SF_TB,0,353,75,0,0.5,0.071428571,47,21.66666667,20
TB,2024_10_SF_TB,1,116,110,1,0.375,0.133333333,44,25,17
LAC,2024_10_TEN_LAC,1,164,145,0,0.4,0.125,33,27,27
TEN,2024_10_TEN_LAC,0,175,132,0,0.272727273,0.125,65,17.66666667,16
